"counts","species","season"
15,"Megacrania","Spring"
18,"Megacrania","Spring"
22,"Megacrania","Spring"
12,"Megacrania","Summer"
14,"Megacrania","Summer"
16,"Megacrania","Summer"
10,"Megacrania","Autumn"
11,"Megacrania","Autumn"
9,"Megacrania","Autumn"
6,"Megacrania","Winter"
8,"Megacrania","Winter"
7,"Megacrania","Winter"
13,"Extatosoma","Spring"
12,"Extatosoma","Spring"
11,"Extatosoma","Spring"
15,"Extatosoma","Summer"
19,"Extatosoma","Summer"
21,"Extatosoma","Summer"
23,"Extatosoma","Autumn"
25,"Extatosoma","Autumn"
26,"Extatosoma","Autumn"
30,"Extatosoma","Winter"
29,"Extatosoma","Winter"
31,"Extatosoma","Winter"
